Path	Sample Name	Tissue Category	Region ID	Total Regions	Region X Position	Region Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Region Area (pixels)	Region Area (percent)	Region Compactness	Region Minor Axis	Region Major Axis	Region Axis Ratio	DAPI Min (Normalized Counts, Total Weighting)	DAPI Mean (Normalized Counts, Total Weighting)	DAPI Max (Normalized Counts, Total Weighting)	DAPI Std Dev (Normalized Counts, Total Weighting)	DAPI Total (Normalized Counts, Total Weighting)	CD68 (Opal 520) Min (Normalized Counts, Total Weighting)	CD68 (Opal 520) Mean (Normalized Counts, Total Weighting)	CD68 (Opal 520) Max (Normalized Counts, Total Weighting)	CD68 (Opal 520) Std Dev (Normalized Counts, Total Weighting)	CD68 (Opal 520) Total (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Min (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Mean (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Max (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Std Dev (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Total (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Min (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Mean (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Max (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Std Dev (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Total (Normalized Counts, Total Weighting)	CD8 (Opal 620) Min (Normalized Counts, Total Weighting)	CD8 (Opal 620) Mean (Normalized Counts, Total Weighting)	CD8 (Opal 620) Max (Normalized Counts, Total Weighting)	CD8 (Opal 620) Std Dev (Normalized Counts, Total Weighting)	CD8 (Opal 620) Total (Normalized Counts, Total Weighting)	CD3 (Opal 650) Min (Normalized Counts, Total Weighting)	CD3 (Opal 650) Mean (Normalized Counts, Total Weighting)	CD3 (Opal 650) Max (Normalized Counts, Total Weighting)	CD3 (Opal 650) Std Dev (Normalized Counts, Total Weighting)	CD3 (Opal 650) Total (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Min (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Mean (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Max (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Std Dev (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Total (Normalized Counts, Total Weighting)	Autofluorescence Min (Normalized Counts, Total Weighting)	Autofluorescence Mean (Normalized Counts, Total Weighting)	Autofluorescence Max (Normalized Counts, Total Weighting)	Autofluorescence Std Dev (Normalized Counts, Total Weighting)	Autofluorescence Total (Normalized Counts, Total Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	inForm 2.2.5800.23313
E:\Original MANTRA official all pics	cu-04-06 D_3.im3	Tumor	1		944	120	#N/A	#N/A	3536	0.24 %	0.31	73.19	81.11	1.11	0.269	1.040	3.157	0.674	3678.437	0.000	0.332	1.556	0.191	1175.699	0.000	0.844	3.037	0.476	2985.682	0.956	8.342	29.831	5.474	29498.057	0.000	0.841	7.070	0.887	2973.314	0.000	0.036	0.515	0.047	127.932	0.000	0.246	1.939	0.346	869.028	0.000	0.472	1.067	0.281	1667.543			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_3.im3	Tumor	2		1046	148	#N/A	#N/A	2160	0.15 %	0.40	45.56	70.89	1.56	0.186	0.879	2.889	0.678	1898.901	0.000	0.276	1.631	0.184	597.013	0.000	0.541	3.041	0.383	1167.897	0.422	4.890	21.560	3.281	10561.813	0.000	0.643	6.023	0.684	1388.711	0.000	0.027	0.321	0.037	57.937	0.000	0.203	1.297	0.266	439.158	0.000	0.472	1.001	0.254	1019.009			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_3.im3	Tumor	3		464	146	#N/A	#N/A	944	0.07 %	0.68	32.01	36.02	1.13	0.312	1.241	3.105	0.693	1171.066	0.000	0.339	0.704	0.124	319.831	0.000	2.117	6.708	1.625	1998.564	2.596	7.111	28.235	3.683	6712.988	0.000	3.996	22.624	4.456	3772.522	0.000	0.237	1.356	0.243	223.443	0.000	0.305	1.316	0.308	287.939	0.000	0.420	1.127	0.264	396.728			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_3.im3	Tumor	4		788	174	#N/A	#N/A	3088	0.21 %	0.31	58.46	106.07	1.81	0.249	0.700	2.268	0.425	2160.868	0.000	0.311	3.113	0.280	960.272	0.000	0.653	3.630	0.448	2017.608	0.425	7.277	24.754	4.768	22470.521	0.000	0.892	17.982	1.251	2754.353	0.000	0.042	0.929	0.074	131.025	0.000	0.323	2.224	0.465	998.069	0.000	0.524	1.149	0.174	1617.503			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_3.im3	Tumor	5		1114	174	#N/A	#N/A	4128	0.29 %	0.33	75.36	102.17	1.36	0.163	0.912	2.995	0.660	3764.616	0.000	0.185	0.876	0.124	765.593	0.000	0.622	3.584	0.516	2569.437	0.000	5.911	29.437	5.238	24401.978	0.000	0.692	5.511	0.744	2854.971	0.000	0.027	0.272	0.035	111.601	0.000	0.176	1.210	0.221	728.478	0.000	0.514	1.280	0.268	2120.785			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_3.im3	Tumor	6		870	316	#N/A	#N/A	51584	3.56 %	0.05	277.11	445.53	1.61	0.202	0.939	3.617	0.626	48463.022	0.000	0.402	4.923	0.301	20712.311	0.000	0.654	4.615	0.558	33727.952	0.161	5.072	33.659	5.015	261652.642	0.000	0.613	16.032	0.728	31625.498	0.000	0.036	0.835	0.045	1867.554	0.000	0.326	3.512	0.445	16836.250	0.000	0.494	1.240	0.244	25495.560			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_3.im3	Tumor	7		1174	200	#N/A	#N/A	944	0.07 %	0.68	32.01	36.01	1.12	0.274	0.745	2.229	0.500	703.299	0.000	0.186	0.673	0.117	175.431	0.000	0.444	1.706	0.276	419.160	0.768	4.292	23.021	3.085	4051.413	0.000	0.561	2.746	0.526	529.253	0.000	0.023	0.167	0.031	22.130	0.000	0.219	1.244	0.306	206.601	0.000	0.544	1.180	0.210	513.093			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_3.im3	Tumor	8		716	262	#N/A	#N/A	1488	0.10 %	0.28	38.29	68.05	1.78	0.209	0.893	2.574	0.611	1329.213	0.000	1.003	6.711	1.251	1492.727	0.000	1.425	4.799	1.077	2120.192	1.410	10.226	28.639	5.669	15216.571	0.000	0.877	10.692	1.220	1305.419	0.000	0.048	0.448	0.062	71.997	0.000	0.166	0.862	0.194	246.894	0.000	0.583	1.407	0.316	866.859			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_3.im3	Tumor	9		954	652	#N/A	#N/A	230080	15.89 %	0.02	724.88	817.84	1.13	0.176	0.949	4.259	0.621	218402.852	0.000	0.254	6.537	0.232	58515.907	0.000	0.536	9.927	0.629	123307.198	0.000	2.772	33.022	2.829	637678.603	0.000	0.699	34.445	0.948	160784.214	0.000	0.033	1.103	0.046	7575.946	0.000	0.281	2.741	0.371	64581.679	0.000	0.516	1.375	0.226	118780.303			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_3.im3	Tumor	10		1200	308	#N/A	#N/A	4368	0.30 %	0.50	63.94	88.24	1.38	0.177	0.815	2.699	0.603	3558.093	0.000	0.171	0.947	0.097	747.559	0.000	0.351	2.384	0.278	1532.913	0.000	2.403	18.616	1.769	10497.949	0.000	0.539	3.114	0.432	2352.981	0.000	0.024	0.253	0.030	102.729	0.000	0.171	1.270	0.206	748.594	0.000	0.524	0.987	0.238	2288.333			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_3.im3	Tumor	11		670	326	#N/A	#N/A	4800	0.33 %	0.50	76.33	91.85	1.20	0.212	1.014	3.508	0.658	4864.937	0.000	0.929	6.406	0.958	4459.347	0.000	0.819	3.218	0.548	3930.675	0.969	8.017	25.831	6.104	38480.688	0.000	1.061	13.356	1.281	5090.797	0.000	0.056	0.747	0.067	267.533	0.000	0.337	2.540	0.484	1616.284	0.000	0.544	1.319	0.300	2613.220			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_3.im3	Tumor	12		1248	306	#N/A	#N/A	768	0.05 %	0.55	33.53	33.56	1.00	0.289	0.772	2.434	0.510	593.135	0.000	0.157	0.715	0.099	120.420	0.000	0.411	1.291	0.238	315.862	0.494	2.801	8.139	1.180	2151.104	0.000	0.518	2.535	0.443	397.697	0.000	0.026	0.171	0.033	19.912	0.000	0.173	0.903	0.206	132.572	0.000	0.512	0.851	0.189	393.471			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_3.im3	Tumor	13		1032	310	#N/A	#N/A	816	0.06 %	0.59	32.03	36.03	1.12	0.214	0.550	2.239	0.385	448.787	0.000	0.252	1.034	0.160	205.621	0.000	0.660	3.020	0.563	538.855	0.958	6.739	28.855	5.317	5498.853	0.000	0.465	3.969	0.624	379.556	0.000	0.027	0.199	0.033	22.172	0.000	0.132	1.101	0.180	107.472	0.000	0.672	1.150	0.175	548.081			0	0	0	0	
E:\Original MANTRA official all pics	cu-04-06 D_3.im3	Tumor	14		1324	472	#N/A	#N/A	768	0.05 %	0.63	32.00	32.00	1.00	0.260	1.054	2.339	0.601	809.433	0.000	0.121	0.516	0.082	92.898	0.000	0.498	2.122	0.395	382.404	0.000	3.483	22.431	3.916	2675.200	0.000	0.522	1.970	0.417	400.869	0.000	0.024	0.150	0.030	18.505	0.000	0.137	0.696	0.165	104.840	0.000	0.433	0.824	0.228	332.750			0	0	0	0	
