Path	Sample Name	Tissue Category	Region ID	Total Regions	Region X Position	Region Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Region Area (pixels)	Region Area (percent)	Region Compactness	Region Minor Axis	Region Major Axis	Region Axis Ratio	DAPI Min (Normalized Counts, Total Weighting)	DAPI Mean (Normalized Counts, Total Weighting)	DAPI Max (Normalized Counts, Total Weighting)	DAPI Std Dev (Normalized Counts, Total Weighting)	DAPI Total (Normalized Counts, Total Weighting)	CD68 (Opal 520) Min (Normalized Counts, Total Weighting)	CD68 (Opal 520) Mean (Normalized Counts, Total Weighting)	CD68 (Opal 520) Max (Normalized Counts, Total Weighting)	CD68 (Opal 520) Std Dev (Normalized Counts, Total Weighting)	CD68 (Opal 520) Total (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Min (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Mean (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Max (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Std Dev (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Total (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Min (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Mean (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Max (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Std Dev (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Total (Normalized Counts, Total Weighting)	CD8 (Opal 620) Min (Normalized Counts, Total Weighting)	CD8 (Opal 620) Mean (Normalized Counts, Total Weighting)	CD8 (Opal 620) Max (Normalized Counts, Total Weighting)	CD8 (Opal 620) Std Dev (Normalized Counts, Total Weighting)	CD8 (Opal 620) Total (Normalized Counts, Total Weighting)	CD3 (Opal 650) Min (Normalized Counts, Total Weighting)	CD3 (Opal 650) Mean (Normalized Counts, Total Weighting)	CD3 (Opal 650) Max (Normalized Counts, Total Weighting)	CD3 (Opal 650) Std Dev (Normalized Counts, Total Weighting)	CD3 (Opal 650) Total (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Min (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Mean (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Max (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Std Dev (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Total (Normalized Counts, Total Weighting)	Autofluorescence Min (Normalized Counts, Total Weighting)	Autofluorescence Mean (Normalized Counts, Total Weighting)	Autofluorescence Max (Normalized Counts, Total Weighting)	Autofluorescence Std Dev (Normalized Counts, Total Weighting)	Autofluorescence Total (Normalized Counts, Total Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	inForm 2.2.5800.23313
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Tumor	1		150	102	#N/A	#N/A	15904	1.10 %	0.11	98.52	358.76	3.64	0.268	1.425	6.133	1.060	22669.452	0.000	0.408	2.870	0.294	6486.970	0.000	0.704	3.660	0.481	11189.700	0.450	7.135	60.130	7.804	113478.830	0.000	0.974	12.973	1.079	15484.977	0.000	0.036	1.704	0.060	572.996	0.000	0.261	1.949	0.267	4147.161	0.000	0.557	2.706	0.383	8854.047			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Tumor	2		752	408	#N/A	#N/A	598432	41.34 %	0.03	792.41	1298.47	1.64	0.256	1.904	9.132	1.217	1139372.179	0.000	0.311	7.084	0.233	186192.889	0.000	0.684	10.801	0.514	409337.468	0.000	4.581	59.182	5.874	2741682.174	0.000	0.777	38.508	0.980	464903.717	0.000	0.039	3.913	0.068	23322.230	0.000	0.328	2.530	0.293	196568.407	0.000	0.405	3.554	0.339	242375.138			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Tumor	3		1300	534	#N/A	#N/A	4304	0.30 %	0.18	76.06	136.12	1.79	0.443	1.766	6.891	1.285	7601.364	0.000	0.257	1.546	0.199	1106.755	0.000	1.120	3.574	0.532	4821.800	0.776	12.432	43.921	8.700	53508.899	0.000	1.199	8.051	1.103	5158.874	0.000	0.049	0.438	0.062	212.516	0.000	0.249	1.100	0.209	1071.256	0.000	0.719	2.255	0.486	3095.181			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Tumor	4		1244	676	#N/A	#N/A	28656	1.98 %	0.11	165.71	296.88	1.79	0.272	2.018	7.145	1.265	57825.176	0.000	0.227	2.903	0.202	6514.807	0.000	1.615	4.929	0.776	46293.338	0.668	18.035	61.774	11.207	516802.551	0.000	1.573	10.325	1.581	45063.767	0.000	0.064	0.607	0.082	1819.914	0.000	0.358	2.757	0.323	10266.600	0.000	0.801	2.894	0.515	22940.906			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Tumor	5		968	832	#N/A	#N/A	137824	9.52 %	0.05	416.95	631.94	1.52	0.284	2.362	8.382	1.451	325554.544	0.000	0.244	8.506	0.206	33585.499	0.000	1.104	6.049	0.606	152133.587	0.000	8.577	65.089	7.839	1182086.922	0.000	0.875	24.994	0.953	120621.842	0.000	0.045	2.111	0.064	6264.076	0.000	0.321	2.361	0.254	44279.806	0.000	0.476	3.381	0.440	65583.178			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Tumor	6		1350	796	#N/A	#N/A	2944	0.20 %	0.24	84.36	88.02	1.04	0.838	1.733	4.768	1.006	5102.870	0.000	0.220	1.004	0.157	646.968	0.000	1.023	3.359	0.520	3010.853	0.000	8.751	39.561	6.088	25761.648	0.000	0.794	9.158	1.015	2337.579	0.000	0.037	0.507	0.053	108.907	0.000	0.264	1.257	0.237	777.945	0.000	0.570	1.968	0.362	1677.327			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Tumor	7		92	866	#N/A	#N/A	9696	0.67 %	0.15	116.35	201.78	1.73	0.232	1.482	5.752	0.961	14374.020	0.000	0.597	2.202	0.315	5791.288	0.000	1.601	5.459	0.685	15518.908	0.819	17.053	57.424	8.849	165344.059	0.000	2.134	15.757	1.842	20692.067	0.000	0.174	1.165	0.161	1683.413	0.000	0.389	2.275	0.326	3775.458	0.000	0.968	3.417	0.517	9381.943			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Tumor	8		486	878	#N/A	#N/A	5216	0.36 %	0.25	75.52	134.13	1.78	0.355	1.680	6.263	1.218	8763.806	0.000	0.433	3.942	0.445	2259.076	0.000	1.693	4.460	0.662	8831.064	1.339	19.331	46.222	8.706	100827.985	0.000	1.657	11.469	1.679	8641.104	0.000	0.119	0.902	0.121	619.586	0.000	0.367	2.139	0.338	1916.836	0.000	0.951	3.073	0.536	4960.227			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Tumor	9		60	914	#N/A	#N/A	1008	0.07 %	0.30	42.53	49.24	1.16	0.427	1.057	3.687	0.565	1065.756	0.000	0.674	4.361	0.616	679.169	0.000	1.590	4.472	0.802	1602.485	2.501	20.212	46.092	9.925	20373.260	0.000	3.090	13.797	2.863	3114.728	0.000	0.210	1.009	0.169	211.209	0.000	0.186	0.514	0.093	187.444	0.032	1.226	3.260	0.564	1236.045			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-05 C3 S_2.im3	Tumor	10		326	970	#N/A	#N/A	27040	1.87 %	0.12	141.31	395.76	2.80	0.372	1.595	6.717	0.935	43142.210	0.000	0.355	3.790	0.252	9591.263	0.000	1.077	5.557	0.530	29128.137	0.000	9.107	45.965	6.029	246243.301	0.000	1.109	45.055	2.039	29986.150	0.000	0.065	2.882	0.136	1768.149	0.000	0.317	1.933	0.285	8564.951	0.000	0.634	3.421	0.355	17147.648			0	0	0	0	
