Path	Sample Name	Tissue Category	Region ID	Total Regions	Region X Position	Region Y Position	Process Region ID	Distance from Process Region Edge (pixels)	Region Area (pixels)	Region Area (percent)	Region Compactness	Region Minor Axis	Region Major Axis	Region Axis Ratio	DAPI Min (Normalized Counts, Total Weighting)	DAPI Mean (Normalized Counts, Total Weighting)	DAPI Max (Normalized Counts, Total Weighting)	DAPI Std Dev (Normalized Counts, Total Weighting)	DAPI Total (Normalized Counts, Total Weighting)	CD68 (Opal 520) Min (Normalized Counts, Total Weighting)	CD68 (Opal 520) Mean (Normalized Counts, Total Weighting)	CD68 (Opal 520) Max (Normalized Counts, Total Weighting)	CD68 (Opal 520) Std Dev (Normalized Counts, Total Weighting)	CD68 (Opal 520) Total (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Min (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Mean (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Max (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Std Dev (Normalized Counts, Total Weighting)	Ki67 (Opal 540) Total (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Min (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Mean (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Max (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Std Dev (Normalized Counts, Total Weighting)	HLA-DR (Opal 570) Total (Normalized Counts, Total Weighting)	CD8 (Opal 620) Min (Normalized Counts, Total Weighting)	CD8 (Opal 620) Mean (Normalized Counts, Total Weighting)	CD8 (Opal 620) Max (Normalized Counts, Total Weighting)	CD8 (Opal 620) Std Dev (Normalized Counts, Total Weighting)	CD8 (Opal 620) Total (Normalized Counts, Total Weighting)	CD3 (Opal 650) Min (Normalized Counts, Total Weighting)	CD3 (Opal 650) Mean (Normalized Counts, Total Weighting)	CD3 (Opal 650) Max (Normalized Counts, Total Weighting)	CD3 (Opal 650) Std Dev (Normalized Counts, Total Weighting)	CD3 (Opal 650) Total (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Min (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Mean (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Max (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Std Dev (Normalized Counts, Total Weighting)	SOX10 (Opal 690) Total (Normalized Counts, Total Weighting)	Autofluorescence Min (Normalized Counts, Total Weighting)	Autofluorescence Mean (Normalized Counts, Total Weighting)	Autofluorescence Max (Normalized Counts, Total Weighting)	Autofluorescence Std Dev (Normalized Counts, Total Weighting)	Autofluorescence Total (Normalized Counts, Total Weighting)	Lab ID	Slide ID	TMA Sector	TMA Row	TMA Column	TMA Field	inForm 2.2.5800.23313
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Tumor	1		572	50	#N/A	#N/A	4384	0.30 %	0.30	79.96	100.11	1.25	0.182	0.555	1.982	0.294	2433.670	0.078	0.268	1.696	0.222	1176.020	0.000	0.134	1.030	0.125	588.448	0.000	0.444	6.996	1.063	1947.654	0.000	0.572	2.739	0.304	2507.673	0.000	0.097	1.553	0.197	424.401	0.008	0.121	0.526	0.080	531.924	0.442	0.763	1.071	0.077	3343.252			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Tumor	2		668	72	#N/A	#N/A	8336	0.58 %	0.19	114.63	145.25	1.27	0.203	0.509	2.278	0.260	4241.351	0.000	0.211	1.277	0.086	1755.923	0.000	0.149	0.954	0.130	1239.782	0.000	0.371	8.466	0.870	3093.275	0.000	0.564	2.466	0.274	4700.203	0.000	0.055	0.757	0.068	455.761	0.010	0.137	0.869	0.127	1141.882	0.393	0.783	1.468	0.129	6529.633			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Tumor	3		696	520	#N/A	#N/A	841072	58.10 %	0.01	1040.52	1392.02	1.34	0.152	0.504	3.191	0.306	423820.333	0.000	0.223	2.651	0.177	187688.681	0.000	0.181	2.205	0.199	152425.170	0.000	0.791	17.146	1.422	665661.227	0.000	0.462	3.824	0.270	388550.115	0.000	0.056	3.137	0.088	47037.249	0.000	0.161	2.017	0.155	134993.874	0.176	0.783	1.750	0.099	658919.649			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Tumor	4		548	116	#N/A	#N/A	15008	1.04 %	0.11	121.31	264.62	2.18	0.186	0.433	1.591	0.193	6500.793	0.000	0.168	0.512	0.057	2517.900	0.000	0.082	0.453	0.069	1225.694	0.000	0.087	2.391	0.134	1311.170	0.000	0.383	1.207	0.122	5755.253	0.000	0.030	0.202	0.025	451.970	0.000	0.110	0.761	0.091	1655.859	0.398	0.680	1.216	0.076	10209.366			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Tumor	5		774	100	#N/A	#N/A	5200	0.36 %	0.19	84.08	131.22	1.56	0.204	0.493	1.370	0.227	2561.612	0.054	0.196	0.861	0.082	1017.527	0.000	0.122	0.614	0.094	636.565	0.000	0.141	3.730	0.273	734.083	0.000	0.491	1.404	0.174	2551.240	0.000	0.035	0.206	0.029	181.412	0.003	0.154	0.849	0.147	798.379	0.508	0.770	1.250	0.099	4004.849			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Tumor	6		716	168	#N/A	#N/A	1616	0.11 %	0.45	40.51	62.05	1.53	0.221	0.485	1.727	0.274	783.485	0.027	0.238	1.778	0.191	384.363	0.000	0.146	0.675	0.103	235.571	0.000	0.290	2.738	0.451	468.097	0.000	0.473	1.105	0.153	764.593	0.000	0.044	0.229	0.037	70.738	0.000	0.137	0.919	0.130	221.483	0.564	0.795	1.072	0.073	1285.111			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Tumor	7		496	192	#N/A	#N/A	1600	0.11 %	0.29	33.68	74.79	2.22	0.198	0.449	1.974	0.304	718.098	0.054	0.191	0.621	0.064	306.349	0.000	0.117	0.503	0.089	186.927	0.000	0.131	1.877	0.194	209.694	0.000	0.500	1.193	0.185	799.570	0.000	0.042	0.195	0.034	67.027	0.001	0.129	0.883	0.123	205.897	0.547	0.785	1.027	0.077	1255.785			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Tumor	8		792	196	#N/A	#N/A	2032	0.14 %	0.43	41.34	74.26	1.80	0.219	0.518	1.466	0.282	1052.055	0.000	0.201	1.467	0.081	409.316	0.000	0.144	0.626	0.102	292.846	0.000	0.246	3.714	0.406	500.491	0.000	0.486	1.059	0.142	987.111	0.000	0.043	0.192	0.030	87.852	0.004	0.141	0.665	0.120	286.460	0.570	0.798	1.072	0.069	1620.675			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Tumor	9		744	204	#N/A	#N/A	896	0.06 %	0.57	31.92	39.05	1.22	0.251	0.522	1.429	0.288	467.680	0.064	0.190	0.437	0.061	170.282	0.000	0.143	0.803	0.102	128.233	0.000	0.313	4.244	0.441	280.129	0.000	0.450	0.957	0.153	403.350	0.000	0.056	0.368	0.040	50.085	0.019	0.167	0.748	0.172	149.218	0.537	0.750	0.947	0.064	672.339			0	0	0	0	
E:\Original MANTRA official all pics	cu-05-06 A7 S_1.im3	Tumor	10		686	224	#N/A	#N/A	800	0.06 %	0.58	28.01	40.01	1.43	0.234	0.461	1.152	0.230	369.139	0.082	0.213	0.683	0.075	170.059	0.000	0.170	1.049	0.140	136.304	0.000	0.396	5.076	0.837	316.690	0.000	0.520	1.548	0.189	416.034	0.000	0.061	0.381	0.057	48.948	0.026	0.103	0.302	0.053	82.586	0.628	0.800	0.994	0.061	640.144			0	0	0	0	
