"Path"	"Sample_Name"	"Tissue_Category"	"Region_ID"	"Total_Regions"	"Region_X_Position"	"Region_Y_Position"	"Process_Region_ID"	"Distance_from_Process_Region_Edge_pixels"	"Region_Area_pixels"	"Region_Area_percent"	"Region_Compactness"	"Region_Minor_Axis"	"Region_Major_Axis"	"Region_Axis_Ratio"	"DAPI_Min_Normalized_Counts_Total_Weighting"	"DAPI_Mean_Normalized_Counts_Total_Weighting"	"DAPI_Max_Normalized_Counts_Total_Weighting"	"DAPI_Std_Dev_Normalized_Counts_Total_Weighting"	"DAPI_Total_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Min_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Mean_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Max_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Std_Dev_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Total_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Min_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Mean_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Max_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Std_Dev_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Total_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Min_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Mean_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Max_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Std_Dev_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Total_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Min_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Mean_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Max_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Std_Dev_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Total_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Min_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Mean_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Max_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Std_Dev_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Total_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Min_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Mean_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Max_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Std_Dev_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Total_Normalized_Counts_Total_Weighting"	"Autofluorescence_Min_Normalized_Counts_Total_Weighting"	"Autofluorescence_Mean_Normalized_Counts_Total_Weighting"	"Autofluorescence_Max_Normalized_Counts_Total_Weighting"	"Autofluorescence_Std_Dev_Normalized_Counts_Total_Weighting"	"Autofluorescence_Total_Normalized_Counts_Total_Weighting"	"Lab_ID"	"Slide_ID"	"TMA_Sector"	"TMA_Row"	"TMA_Column"	"TMA_Field"	"inForm_2_2_5800_23313"
"E:\Original MANTRA official all pics"	"cu-04-06 D_3.im3"	"Tumor"	1	NA	944	120	"#N/A"	"#N/A"	3536	"0.24 %"	0.31	73.19	81.11	1.11	0.269	1.04	3.157	0.674	3678.437	0	0.332	1.556	0.191	1175.699	0	0.844	3.037	0.476	2985.682	0.956	8.342	29.831	5.474	29498.057	0	0.841	7.07	0.887	2973.314	0	0.036	0.515	0.047	127.932	0	0.246	1.939	0.346	869.028	0	0.472	1.067	0.281	1667.543	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_3.im3"	"Tumor"	2	NA	1046	148	"#N/A"	"#N/A"	2160	"0.15 %"	0.4	45.56	70.89	1.56	0.186	0.879	2.889	0.678	1898.901	0	0.276	1.631	0.184	597.013	0	0.541	3.041	0.383	1167.897	0.422	4.89	21.56	3.281	10561.813	0	0.643	6.023	0.684	1388.711	0	0.027	0.321	0.037	57.937	0	0.203	1.297	0.266	439.158	0	0.472	1.001	0.254	1019.009	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_3.im3"	"Tumor"	3	NA	464	146	"#N/A"	"#N/A"	944	"0.07 %"	0.68	32.01	36.02	1.13	0.312	1.241	3.105	0.693	1171.066	0	0.339	0.704	0.124	319.831	0	2.117	6.708	1.625	1998.564	2.596	7.111	28.235	3.683	6712.988	0	3.996	22.624	4.456	3772.522	0	0.237	1.356	0.243	223.443	0	0.305	1.316	0.308	287.939	0	0.42	1.127	0.264	396.728	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_3.im3"	"Tumor"	4	NA	788	174	"#N/A"	"#N/A"	3088	"0.21 %"	0.31	58.46	106.07	1.81	0.249	0.7	2.268	0.425	2160.868	0	0.311	3.113	0.28	960.272	0	0.653	3.63	0.448	2017.608	0.425	7.277	24.754	4.768	22470.521	0	0.892	17.982	1.251	2754.353	0	0.042	0.929	0.074	131.025	0	0.323	2.224	0.465	998.069	0	0.524	1.149	0.174	1617.503	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_3.im3"	"Tumor"	5	NA	1114	174	"#N/A"	"#N/A"	4128	"0.29 %"	0.33	75.36	102.17	1.36	0.163	0.912	2.995	0.66	3764.616	0	0.185	0.876	0.124	765.593	0	0.622	3.584	0.516	2569.437	0	5.911	29.437	5.238	24401.978	0	0.692	5.511	0.744	2854.971	0	0.027	0.272	0.035	111.601	0	0.176	1.21	0.221	728.478	0	0.514	1.28	0.268	2120.785	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_3.im3"	"Tumor"	6	NA	870	316	"#N/A"	"#N/A"	51584	"3.56 %"	0.05	277.11	445.53	1.61	0.202	0.939	3.617	0.626	48463.022	0	0.402	4.923	0.301	20712.311	0	0.654	4.615	0.558	33727.952	0.161	5.072	33.659	5.015	261652.642	0	0.613	16.032	0.728	31625.498	0	0.036	0.835	0.045	1867.554	0	0.326	3.512	0.445	16836.25	0	0.494	1.24	0.244	25495.56	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_3.im3"	"Tumor"	7	NA	1174	200	"#N/A"	"#N/A"	944	"0.07 %"	0.68	32.01	36.01	1.12	0.274	0.745	2.229	0.5	703.299	0	0.186	0.673	0.117	175.431	0	0.444	1.706	0.276	419.16	0.768	4.292	23.021	3.085	4051.413	0	0.561	2.746	0.526	529.253	0	0.023	0.167	0.031	22.13	0	0.219	1.244	0.306	206.601	0	0.544	1.18	0.21	513.093	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_3.im3"	"Tumor"	8	NA	716	262	"#N/A"	"#N/A"	1488	"0.10 %"	0.28	38.29	68.05	1.78	0.209	0.893	2.574	0.611	1329.213	0	1.003	6.711	1.251	1492.727	0	1.425	4.799	1.077	2120.192	1.41	10.226	28.639	5.669	15216.571	0	0.877	10.692	1.22	1305.419	0	0.048	0.448	0.062	71.997	0	0.166	0.862	0.194	246.894	0	0.583	1.407	0.316	866.859	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_3.im3"	"Tumor"	9	NA	954	652	"#N/A"	"#N/A"	230080	"15.89 %"	0.02	724.88	817.84	1.13	0.176	0.949	4.259	0.621	218402.852	0	0.254	6.537	0.232	58515.907	0	0.536	9.927	0.629	123307.198	0	2.772	33.022	2.829	637678.603	0	0.699	34.445	0.948	160784.214	0	0.033	1.103	0.046	7575.946	0	0.281	2.741	0.371	64581.679	0	0.516	1.375	0.226	118780.303	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-04-06 D_3.im3"	"Tumor"	10	NA	1200	308	"#N/A"	"#N/A"	4368	"0.30 %"	0.5	63.94	88.24	1.38	0.177	0.815	2.699	0.603	3558.093	0	0.171	0.947	0.097	747.559	0	0.351	2.384	0.278	1532.913	0	2.403	18.616	1.769	10497.949	0	0.539	3.114	0.432	2352.981	0	0.024	0.253	0.03	102.729	0	0.171	1.27	0.206	748.594	0	0.524	0.987	0.238	2288.333	NA	NA	0	0	0	0	NA
