"Path"	"Sample_Name"	"Tissue_Category"	"Region_ID"	"Total_Regions"	"Region_X_Position"	"Region_Y_Position"	"Process_Region_ID"	"Distance_from_Process_Region_Edge_pixels"	"Region_Area_pixels"	"Region_Area_percent"	"Region_Compactness"	"Region_Minor_Axis"	"Region_Major_Axis"	"Region_Axis_Ratio"	"DAPI_Min_Normalized_Counts_Total_Weighting"	"DAPI_Mean_Normalized_Counts_Total_Weighting"	"DAPI_Max_Normalized_Counts_Total_Weighting"	"DAPI_Std_Dev_Normalized_Counts_Total_Weighting"	"DAPI_Total_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Min_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Mean_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Max_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Std_Dev_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Total_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Min_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Mean_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Max_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Std_Dev_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Total_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Min_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Mean_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Max_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Std_Dev_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Total_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Min_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Mean_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Max_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Std_Dev_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Total_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Min_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Mean_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Max_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Std_Dev_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Total_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Min_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Mean_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Max_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Std_Dev_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Total_Normalized_Counts_Total_Weighting"	"Autofluorescence_Min_Normalized_Counts_Total_Weighting"	"Autofluorescence_Mean_Normalized_Counts_Total_Weighting"	"Autofluorescence_Max_Normalized_Counts_Total_Weighting"	"Autofluorescence_Std_Dev_Normalized_Counts_Total_Weighting"	"Autofluorescence_Total_Normalized_Counts_Total_Weighting"	"Lab_ID"	"Slide_ID"	"TMA_Sector"	"TMA_Row"	"TMA_Column"	"TMA_Field"	"inForm_2_2_5800_23313"
"E:\Original MANTRA official all pics"	"cu-05-05 C3 S_3.im3"	"Tumor"	1	NA	184	196	"#N/A"	"#N/A"	73184	"5.06 %"	0.08	367.77	393.11	1.07	0.243	1.588	8.352	1.16	116189.736	0	0.31	5.216	0.229	22673.305	0	0.735	9.362	0.599	53809.43	0.361	6.459	56.545	7.605	472676.256	0	1.008	19.588	1.302	73802.287	0	0.035	2.976	0.082	2537.272	0	0.434	3.854	0.501	31749.109	0	0.439	2.523	0.329	32092.407	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-05 C3 S_3.im3"	"Tumor"	2	NA	382	86	"#N/A"	"#N/A"	9472	"0.65 %"	0.34	96.28	177.15	1.84	0.318	1.603	7.317	1.128	15182.224	0	0.344	1.52	0.21	3256.194	0	0.692	3.464	0.435	6557.019	0.279	5.279	45.774	5.827	50002.028	0	0.979	11.844	0.984	9274.576	0	0.027	0.273	0.04	257.847	0	0.447	3.431	0.516	4232.114	0	0.544	1.989	0.321	5150.42	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-05 C3 S_3.im3"	"Tumor"	3	NA	458	18	"#N/A"	"#N/A"	752	"0.05 %"	0.61	28.04	36.04	1.29	0.495	1.313	4.256	0.692	987.556	0	0.571	3.998	0.734	429.765	0	1.006	6.62	0.944	756.766	0.803	13.531	50.037	11.982	10175.129	0	1.714	10.442	2.132	1288.591	0	0.025	0.313	0.045	19.02	0	0.084	0.559	0.088	62.968	0	0.687	2.12	0.439	516.41	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-05 C3 S_3.im3"	"Tumor"	4	NA	656	520	"#N/A"	"#N/A"	413312	"28.55 %"	0.02	911.07	1026.85	1.13	0.242	1.511	7.62	1.065	624426.267	0	0.249	9.431	0.195	102851.718	0	0.624	9.608	0.486	257997.987	0	4.342	59.956	5.52	1794590.154	0	0.72	59.222	1.295	297567.159	0	0.032	2.086	0.057	13381.393	0	0.372	4.365	0.432	153804.845	0	0.474	2.82	0.308	195752.649	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-05 C3 S_3.im3"	"Tumor"	5	NA	862	52	"#N/A"	"#N/A"	4336	"0.30 %"	0.3	82.11	104.57	1.27	0.381	1.291	5.787	1.076	5597.493	0	0.217	2.65	0.199	940.201	0	0.661	3.748	0.437	2867.563	0.478	7.747	58.948	8.595	33589.645	0	0.911	10.396	1.037	3951.806	0	0.024	0.371	0.04	102.431	0	0.297	2.266	0.434	1287.1	0	0.582	2.183	0.362	2522.69	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-05 C3 S_3.im3"	"Tumor"	6	NA	1186	160	"#N/A"	"#N/A"	60080	"4.15 %"	0.13	320.01	413.11	1.29	0.284	2.253	12.756	1.833	135339.426	0	0.273	2.028	0.189	16379.587	0	0.847	6.006	0.805	50870.458	0	7.008	69.179	10.268	421054.976	0	1.166	17.156	1.292	70043.741	0	0.031	0.69	0.053	1890.729	0	0.422	3.023	0.446	25329.532	0	0.479	2.578	0.385	28798.918	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-05 C3 S_3.im3"	"Tumor"	7	NA	1358	122	"#N/A"	"#N/A"	800	"0.06 %"	0.51	30.73	36.39	1.18	0.761	1.656	3.832	0.833	1325.128	0	0.24	1.146	0.209	192.33	0	1.423	3.86	0.781	1138.417	1.831	17.636	45.808	11.828	14108.416	0	1.868	8.769	1.829	1494.577	0	0.044	0.349	0.067	35.028	0	0.236	0.828	0.193	188.501	0.172	0.867	1.774	0.253	693.9	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-05 C3 S_3.im3"	"Tumor"	8	NA	1126	182	"#N/A"	"#N/A"	752	"0.05 %"	0.61	28.09	36.01	1.28	0.586	1.295	4.43	0.972	973.624	0	0.189	0.618	0.102	142.363	0	0.368	1.489	0.253	276.796	0.184	1.731	7.881	0.786	1301.598	0	0.518	2.159	0.418	389.305	0	0.022	0.208	0.031	16.689	0	0.163	0.731	0.169	122.375	0	0.452	0.876	0.237	340.088	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-05 C3 S_3.im3"	"Tumor"	9	NA	86	226	"#N/A"	"#N/A"	1744	"0.12 %"	0.62	44.1	52.03	1.18	0.507	1.408	5.221	1.031	2455.729	0	0.298	0.922	0.156	519.393	0	0.614	2.335	0.366	1070.146	0.797	4.898	23.234	3.122	8541.336	0	0.925	24.717	1.6	1612.652	0	0.041	1.484	0.084	70.918	0	0.352	2.181	0.455	613.228	0	0.389	0.927	0.223	678.74	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-05 C3 S_3.im3"	"Tumor"	10	NA	1164	272	"#N/A"	"#N/A"	1968	"0.14 %"	0.48	40.02	72.08	1.8	0.481	1.461	7.473	1.174	2875.186	0	0.253	1.131	0.176	498.407	0	0.759	4.19	0.512	1494.494	0.735	6.073	58.924	6.218	11952.257	0	0.843	8.817	0.961	1658.876	0	0.03	0.394	0.043	59.785	0	0.269	1.715	0.332	529.213	0	0.61	2.295	0.332	1201.169	NA	NA	0	0	0	0	NA
