"Path"	"Sample_Name"	"Tissue_Category"	"Region_ID"	"Total_Regions"	"Region_X_Position"	"Region_Y_Position"	"Process_Region_ID"	"Distance_from_Process_Region_Edge_pixels"	"Region_Area_pixels"	"Region_Area_percent"	"Region_Compactness"	"Region_Minor_Axis"	"Region_Major_Axis"	"Region_Axis_Ratio"	"DAPI_Min_Normalized_Counts_Total_Weighting"	"DAPI_Mean_Normalized_Counts_Total_Weighting"	"DAPI_Max_Normalized_Counts_Total_Weighting"	"DAPI_Std_Dev_Normalized_Counts_Total_Weighting"	"DAPI_Total_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Min_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Mean_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Max_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Std_Dev_Normalized_Counts_Total_Weighting"	"CD68_Opal_520_Total_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Min_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Mean_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Max_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Std_Dev_Normalized_Counts_Total_Weighting"	"Ki67_Opal_540_Total_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Min_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Mean_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Max_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Std_Dev_Normalized_Counts_Total_Weighting"	"HLA_DR_Opal_570_Total_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Min_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Mean_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Max_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Std_Dev_Normalized_Counts_Total_Weighting"	"CD8_Opal_620_Total_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Min_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Mean_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Max_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Std_Dev_Normalized_Counts_Total_Weighting"	"CD3_Opal_650_Total_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Min_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Mean_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Max_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Std_Dev_Normalized_Counts_Total_Weighting"	"SOX10_Opal_690_Total_Normalized_Counts_Total_Weighting"	"Autofluorescence_Min_Normalized_Counts_Total_Weighting"	"Autofluorescence_Mean_Normalized_Counts_Total_Weighting"	"Autofluorescence_Max_Normalized_Counts_Total_Weighting"	"Autofluorescence_Std_Dev_Normalized_Counts_Total_Weighting"	"Autofluorescence_Total_Normalized_Counts_Total_Weighting"	"Lab_ID"	"Slide_ID"	"TMA_Sector"	"TMA_Row"	"TMA_Column"	"TMA_Field"	"inForm_2_2_5800_23313"
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Tumor"	1	NA	76	34	"#N/A"	"#N/A"	8592	"0.59 %"	0.55	68.17	152.07	2.23	0.109	0.551	3.027	0.456	4732.499	0	0.325	1.86	0.257	2796.416	0	0.206	1.57	0.239	1769.293	0.141	2.553	13.223	2.377	21932.335	0	0.331	2.561	0.302	2844.253	0	0.077	0.884	0.078	661.648	0	0.556	3.529	0.688	4779.88	0.175	0.651	1.235	0.112	5589.849	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Tumor"	2	NA	296	38	"#N/A"	"#N/A"	10976	"0.76 %"	0.35	76.44	192.41	2.52	0.124	0.497	2.161	0.354	5451.227	0	0.265	1.254	0.156	2903.288	0	0.167	2.103	0.247	1831.003	0.106	2.136	19.171	2.65	23445.911	0	0.392	7.105	0.37	4303.999	0	0.076	1.402	0.066	836.721	0	0.5	3.871	0.575	5485.182	0.176	0.674	1.481	0.138	7401.663	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Tumor"	3	NA	576	16	"#N/A"	"#N/A"	896	"0.06 %"	0.51	32.13	40.09	1.25	0.163	0.28	1.38	0.141	251.034	0	0.18	0.824	0.124	161.655	0	0.612	2.179	0.444	548.447	1.165	6.871	22.808	4.288	6156.805	0	0.456	3.277	0.527	408.667	0	0.036	0.188	0.039	31.898	0	0.1	0.354	0.053	89.685	0.445	0.757	1.078	0.105	678.295	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Tumor"	4	NA	1248	162	"#N/A"	"#N/A"	47920	"3.31 %"	0.23	288.01	325.7	1.13	0.124	0.681	4.253	0.618	32614.462	0	0.184	1.148	0.106	8825.334	0	0.078	1.842	0.15	3737.385	0	0.926	15.752	1.357	44392.816	0	0.322	7.848	0.225	15411.196	0	0.069	0.443	0.06	3317.75	0	0.486	4.236	0.597	23267.23	0.27	0.762	1.717	0.135	36503.447	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Tumor"	5	NA	696	550	"#N/A"	"#N/A"	903248	"62.39 %"	0.01	980.8	1397.04	1.42	0.098	0.575	4.833	0.481	519012.216	0	0.145	2.319	0.134	130839.207	0	0.141	4.241	0.245	127215.221	0	1.663	18.981	2.326	1502054.562	0	0.276	21.291	0.423	249282.961	0	0.063	3.506	0.074	56941.655	0	0.413	4.559	0.545	372973.571	0	0.723	2.221	0.116	653197.675	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Tumor"	6	NA	1058	86	"#N/A"	"#N/A"	1504	"0.10 %"	0.64	44.09	44.16	1	0.195	0.38	1.144	0.183	571.373	0	0.125	0.343	0.072	188.214	0	0.301	0.939	0.21	452.943	0.374	4.701	9.843	2.794	7069.681	0	0.298	1.196	0.243	447.949	0	0.045	0.264	0.042	68.29	0	0.181	0.615	0.123	272.544	0.459	0.72	0.991	0.074	1082.52	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Tumor"	7	NA	52	118	"#N/A"	"#N/A"	1360	"0.09 %"	0.35	36.49	65.8	1.8	0.109	0.337	2.837	0.422	458.19	0	0.127	0.606	0.105	172.47	0	0.524	2.054	0.441	713.028	0.623	6.68	18.735	4.472	9085.18	0	0.866	6.218	1.112	1178.191	0	0.057	0.564	0.081	77.209	0	0.141	0.752	0.111	191.808	0.354	0.664	1.112	0.127	903.379	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Tumor"	8	NA	1302	794	"#N/A"	"#N/A"	3232	"0.22 %"	0.27	48.15	108.82	2.26	0.159	0.591	2.409	0.431	1910.704	0	0.069	0.349	0.04	221.559	0	0.076	1.264	0.166	244.145	0	1.167	11.418	1.709	3770.471	0	0.225	1.479	0.171	725.692	0	0.05	0.315	0.044	162.726	0	0.152	1.368	0.196	492.191	0.4	0.792	1.332	0.101	2558.883	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Tumor"	9	NA	1220	806	"#N/A"	"#N/A"	1840	"0.13 %"	0.3	45.2	62.87	1.39	0.191	0.684	2.543	0.502	1258.047	0	0.068	0.19	0.032	125.623	0	0.034	0.555	0.068	62.925	0	0.61	6.8	0.564	1122.137	0	0.199	0.969	0.137	367.075	0	0.053	0.208	0.038	96.693	0	0.101	0.529	0.087	185.574	0.436	0.764	1.176	0.095	1406.023	NA	NA	0	0	0	0	NA
"E:\Original MANTRA official all pics"	"cu-05-06 A7 S_4.im3"	"Tumor"	10	NA	1120	994	"#N/A"	"#N/A"	2256	"0.16 %"	0.25	55.77	83.97	1.51	0.189	0.691	2.57	0.467	1559.23	0	0.059	0.235	0.028	133.37	0	0.026	0.395	0.052	58.554	0	0.51	1.57	0.294	1150.445	0	0.165	0.578	0.118	371.627	0	0.052	0.228	0.038	116.988	0	0.09	0.83	0.094	203.573	0.538	0.806	1.19	0.091	1819.182	NA	NA	0	0	0	0	NA
